date,store_id,revenue,revenue_prediction,lower_bound,upper_bound
2018-11-11,S0002,2561.47,3101.8613490507882,243.1139844680315,5960.6087136335445
2018-11-18,S0002,2550.94,3204.8335489749984,101.5811636320309,6308.085934317965
2018-11-25,S0002,2607.1,3243.907919714683,86.78793075970407,6401.027908669662
2018-12-02,S0002,2610.98,3258.735285254373,83.0474024541627,6434.423168054584
2018-12-09,S0002,3123.2,3264.361755103683,78.6387789906994,6450.084731216667
2018-12-16,S0002,3450.06,3266.496804845355,73.29558141807547,6459.6980282726345
2018-12-23,S0002,3546.61,3267.3069820117666,67.50565151394721,6467.1083125095865
2018-12-30,S0002,2941.19,3267.6144160860945,61.538765997404425,6473.690066174784
2019-01-06,S0002,3655.08,3267.731076631437,55.5096279548311,6479.952525308043
2019-01-13,S0002,3053.83,3267.7753452534807,49.46358531707983,6486.087105189881
2019-01-20,S0002,4997.78,3267.792143656847,43.418106010261,6492.166181303433
2019-01-27,S0002,3580.7400000000002,3267.798518067042,37.37983424399317,6498.217201890091
2019-02-03,S0002,4096.85,3267.800936934148,31.35126463568804,6504.2506092326075
2019-02-10,S0002,5840.03,3267.801854810139,25.333308535579363,6510.270401084699
2019-02-17,S0002,4542.51,3267.802203112174,19.326274483409634,6516.278131740939
2019-02-24,S0002,3683.56,3267.80233528069,13.33024187852061,6522.274428682859
2019-03-03,S0002,3547.58,3267.8023854340477,7.345203257511912,6528.259567610583
2019-03-10,S0002,4597.84,3267.8024044655035,1.3711184450075962,6534.233690485999
2019-03-17,S0002,3984.73,3267.80241168728,-4.592064842448963,6540.196888217009
2019-03-24,S0002,3575.84,3267.802414427693,-10.544403160009551,6546.149232015396
2019-03-31,S0002,3169.98,3267.8024154675845,-16.485954356791808,6552.090785291961
2019-04-07,S0002,3594.56,3267.802415862187,-22.416776446988933,6558.0216081713625
2019-04-14,S0002,3648.72,3267.802416011925,-28.336927184425804,6563.9417592082755
2019-04-21,S0002,3747.2599999999998,3267.802416068745,-34.24646390472935,6569.8512960422195
2019-04-28,S0002,2673.85,3267.8024160903065,-40.14544346925277,6575.750275649865
2019-05-05,S0002,3731.34,3267.8024160984883,-46.033922247661394,6581.638754444638
2019-05-12,S0002,5314.1,3267.802416101593,-51.911956115163775,6587.516788318349
2019-05-19,S0002,2925.18,3267.802416102771,-57.77960045524924,6593.384432660791
2019-05-26,S0002,2664.43,3267.802416103218,-63.636910164466826,6599.241742370903
2019-06-02,S0002,4149.6,3267.8024161033877,-69.48393965792047,6605.088771864695
2019-06-09,S0002,3674.1,3267.8024161034523,-75.32074287497426,6610.925575081879
2019-06-16,S0002,3911.59,3267.802416103477,-81.14737328498722,6616.752205491941
2019-06-23,S0002,5509.16,3267.802416103486,-86.96388389300091,6622.568716099973
2019-06-30,S0002,3347.68,3267.8024161034896,-92.77032724535547,6628.375159452335
2019-07-07,S0002,4983.8,3267.802416103491,-98.5667554352217,6634.171587642204
2019-07-14,S0002,6365.78,3267.8024161034914,-104.35322010805339,6639.958052315036
2019-07-21,S0002,4318.66,3267.8024161034914,-110.12977246695709,6645.73460467394
2019-07-28,S0002,3346.71,3267.8024161034914,-115.89646327797482,6651.501295484957
2019-08-04,S0002,3516.66,3267.8024161034914,-121.65334287529231,6657.258175082276
2019-08-11,S0002,4068.51,3267.8024161034914,-127.40046116636222,6663.005293373345
2019-08-18,S0002,6158.68,3267.8024161034914,-133.13786763695452,6668.742699843937
2019-08-25,S0002,16283.630000000001,3267.8024161034914,-138.86561135612556,6674.470443563108
2019-09-01,S0002,4164.56,3267.8024161034914,-144.58374098111517,6680.1885731880975
2019-09-08,S0002,6267.91,3267.8024161034914,-150.29230476216935,6685.897136969152
2019-09-15,S0002,5007.57,3267.8024161034914,-155.99135054729095,6691.596182754274
2019-09-22,S0002,3074.56,3267.8024161034914,-161.68092578691721,6697.2857579939
2019-09-29,S0002,5728.25,3267.8024161034914,-167.36107753852957,6702.965909745512
2019-10-06,S0002,363.20000000000005,3267.8024161034914,-173.0318524711961,6708.636684678178
2019-10-13,S0002,0.0,3267.8024161034914,-178.69329687004392,6714.298129077027
2019-10-20,S0002,0.0,3267.8024161034914,-184.34545664066536,6719.950288847648
2019-10-27,S0002,0.0,3267.8024161034914,-189.98837731346475,6725.593209520448
2019-11-03,S0002,0.0,3267.8024161034914,-195.62210404793086,6731.226936254914
2018-11-11,S0010,2591.02,2395.9632504512633,1468.8314386139364,3323.0950622885903
2018-11-18,S0010,3267.75,2427.714393306466,1466.1128701881428,3389.315916424789
2018-11-25,S0010,3046.8,2431.586128799683,1454.508528951077,3408.663728648289
2018-12-02,S0010,2730.05,2432.0582483639396,1441.4411918322246,3422.6753048956543
2018-12-09,S0010,3084.83,2432.1158186404587,1428.3392445706913,3435.892392710226
2018-12-16,S0010,2424.06,2432.1228387620326,1415.3807122034632,3448.864965320602
2018-12-23,S0010,2892.63,2432.123694795908,1402.5821323249152,3461.6652572669004
2018-12-30,S0010,3254.57,2432.1237991807093,1389.940326494768,3474.307271866651
2019-01-06,S0010,3039.5099999999998,2432.1238119093955,1377.4499924602435,3486.7976313585477
2019-01-13,S0010,2569.04,2432.123813461532,1365.1058522767562,3499.1417746463076
2019-01-20,S0010,2677.31,2432.1238136507995,1352.9028945365208,3511.3447327650783
2019-01-27,S0010,3346.17,2432.123813673879,1340.8363836817957,3523.411243665962
2019-02-03,S0010,2847.41,2432.1238136766933,1328.9018426099883,3535.3457847433983
2019-02-10,S0010,3021.73,2432.1238136770367,1317.0950337670586,3547.152593587015
2019-02-17,S0010,3402.44,2432.1238136770785,1305.4119416306016,3558.8356857235553
2019-02-24,S0010,3357.64,2432.1238136770835,1293.8487567627262,3570.3988705914408
2019-03-03,S0010,3394.89,2432.123813677084,1282.4018613006472,3581.8457660535205
2019-03-10,S0010,3055.32,2432.123813677084,1271.067815734182,3593.179811619986
2019-03-17,S0010,2947.33,2432.123813677084,1259.8433468338928,3604.4042805202753
2019-03-24,S0010,2776.54,2432.123813677084,1248.725336609874,3615.522290744294
2019-03-31,S0010,2665.53,2432.123813677084,1237.7108121956473,3626.5368151585208
2019-04-07,S0010,2480.3,2432.123813677084,1226.7969365641588,3637.450690790009
2019-04-14,S0010,1882.98,2432.123813677084,1215.9809999937163,3648.266627360452
2019-04-21,S0010,2358.85,2432.123813677084,1205.260412211134,3658.9872151430336
2019-04-28,S0010,2554.55,2432.123813677084,1194.6326951475396,3669.6149322066285
2019-05-05,S0010,2224.78,2432.123813677084,1184.0954762494418,3680.152151104726
2019-05-12,S0010,2625.29,2432.123813677084,1173.6464822939133,3690.6011450602546
2019-05-19,S0010,2570.45,2432.123813677084,1163.283533662216,3700.964093691952
2019-05-26,S0010,2214.13,2432.123813677084,1153.0045390310054,3711.2430883231627
2019-06-02,S0010,2372.03,2432.123813677084,1142.807490444491,3721.4401369096768
2019-06-09,S0010,1957.34,2432.123813677084,1132.6904587346633,3731.5571686195044
2019-06-16,S0010,2566.34,2432.123813677084,1122.6515892600034,3741.596038094164
2019-06-23,S0010,3962.14,2432.123813677084,1112.6890979360137,3751.558529418154
